source,interaction,target
AT5G57390,A,AT3G18610
AT5G65510,A,AT3G18610
AT3G20840,A,AT3G19440
AT5G10510,A,AT3G19440
AT5G17430,A,AT3G19440
AT5G57390,A,AT3G19440
AT5G65510,A,AT3G19440
AT1G51190,A,AT3G19500
AT3G20840,A,AT3G21110
AT5G10510,A,AT3G21110
AT5G17430,A,AT3G21110
AT5G57390,A,AT3G21110
AT5G65510,A,AT3G21110
AT3G20840,A,AT3G21480
AT5G17430,A,AT3G21480
AT5G65510,A,AT3G21480
AT3G20840,A,AT3G21540
AT1G51190,A,AT3G21540
AT5G10510,A,AT3G21540
AT5G17430,A,AT3G21540
AT5G57390,A,AT3G21540
AT5G65510,A,AT3G21540
AT3G20840,A,AT3G23830
AT5G10510,A,AT3G23830
AT5G17430,A,AT3G23830
AT5G57390,A,AT3G23830
AT5G65510,A,AT3G23830
AT3G20840,A,AT3G24080
AT5G17430,A,AT3G24080
AT3G20840,A,AT3G25940
AT5G10510,A,AT3G25940
AT5G17430,A,AT3G25940
AT5G57390,A,AT3G25940
AT3G20840,A,AT3G25980
AT3G20840,A,AT3G26410
AT5G10510,A,AT3G26410
AT5G17430,A,AT3G26410
AT5G57390,A,AT3G26410
AT5G65510,A,AT3G26410
AT3G20840,A,AT3G26850
AT5G17430,A,AT3G26850
AT5G65510,A,AT3G26850
AT3G20840,A,AT3G29300
AT1G51190,A,AT3G29300
AT5G65510,A,AT3G29300
AT1G51190,A,AT3G30350
AT3G20840,A,AT3G43210
AT3G20840,A,AT3G43920
AT3G20840,A,AT3G44050
AT3G20840,A,AT3G48250
AT1G51190,A,AT3G48250
AT5G10510,A,AT3G48250
AT5G17430,A,AT3G48250
AT5G57390,A,AT3G48250
AT5G65510,A,AT3G48250
AT3G20840,A,AT3G48710
AT5G65510,A,AT3G48710
AT5G17430,A,AT3G49240
AT3G20840,A,AT3G49320
AT1G51190,A,AT3G49320
AT5G10510,A,AT3G49320
AT5G17430,A,AT3G49320
AT5G57390,A,AT3G49320
AT5G65510,A,AT3G49320
AT3G20840,A,AT3G49660
AT3G20840,A,AT3G51530
AT3G20840,R,AT3G51870
AT3G20840,A,AT3G53190
AT5G10510,A,AT3G53190
AT5G17430,A,AT3G53190
AT3G20840,A,AT3G53940
AT5G10510,A,AT3G53940
AT5G17430,A,AT3G53940
AT5G57390,A,AT3G53940
AT5G65510,A,AT3G53940
AT5G17430,A,AT3G55400
AT3G20840,A,AT3G55510
AT5G10510,A,AT3G55510
AT5G17430,A,AT3G55510
AT5G57390,A,AT3G55510
AT5G65510,A,AT3G55510
AT3G20840,A,AT3G56070
AT5G10510,A,AT3G56070
AT5G17430,A,AT3G56070
AT5G57390,A,AT3G56070
AT5G65510,A,AT3G56070
AT3G20840,A,AT3G56270
AT5G65510,A,AT3G56270
AT3G20840,A,AT3G56330
AT3G20840,A,AT3G56490
AT1G51190,A,AT3G56490
AT3G20840,A,AT3G56690
AT5G65510,A,AT3G56900
AT3G20840,A,AT3G57150
AT5G10510,A,AT3G57150
AT5G17430,A,AT3G57150
AT5G57390,A,AT3G57150
AT5G65510,A,AT3G57150
AT3G20840,A,AT3G57160
AT1G51190,A,AT3G57160
AT5G65510,A,AT3G57160
AT3G20840,A,AT3G57860
AT3G20840,A,AT3G57940
AT5G10510,A,AT3G57940
AT5G17430,A,AT3G57940
AT5G57390,A,AT3G57940
AT5G65510,A,AT3G57940
AT3G20840,A,AT3G58660
AT5G10510,A,AT3G58660
AT5G17430,A,AT3G58660
AT5G57390,A,AT3G58660
AT5G65510,A,AT3G58660
AT3G20840,A,AT3G59670
AT1G51190,A,AT3G59670
AT5G10510,A,AT3G59670
AT5G17430,A,AT3G59670
AT5G57390,A,AT3G59670
AT5G65510,A,AT3G59670
AT3G20840,A,AT3G61620
AT5G17430,A,AT3G61620
AT5G65510,A,AT3G61620
AT3G20840,A,AT3G62100
AT1G51190,A,AT3G62100
AT5G17430,A,AT3G62100
AT5G65510,A,AT3G62100
AT5G17430,A,AT3G62310
AT5G65510,A,AT3G62310
AT3G20840,A,AT3G62320
AT1G51190,A,AT3G62320
AT5G65510,A,AT3G62320
AT3G20840,A,AT3G62760
AT1G51190,A,AT3G62760
AT5G10510,A,AT3G62760
AT5G17430,A,AT3G62760
AT5G65510,A,AT3G62760
AT3G20840,A,AT3G63130
AT3G20840,A,AT4G01270
AT5G65510,A,AT4G01270
AT3G20840,A,AT4G01460
AT5G17430,A,AT4G01460
AT5G65510,A,AT4G01460
AT3G20840,A,AT4G01790
AT5G17430,A,AT4G01790
AT5G65510,A,AT4G01790
AT3G20840,A,AT4G02460
AT5G17430,A,AT4G02460
AT5G57390,A,AT4G02460
AT5G65510,A,AT4G02460
AT3G20840,A,AT4G02750
AT1G51190,A,AT4G02750
AT5G10510,A,AT4G02750
AT5G17430,A,AT4G02750
AT5G65510,A,AT4G02750
AT3G20840,A,AT4G02820
AT5G10510,A,AT4G02820
AT5G17430,A,AT4G02820
AT5G65510,A,AT4G02820
AT3G20840,A,AT4G03100
AT3G20840,A,AT4G03210
AT1G51190,A,AT4G03210
AT5G10510,A,AT4G03210
AT5G17430,A,AT4G03210
AT5G57390,A,AT4G03210
AT5G65510,A,AT4G03210
AT3G20840,A,AT4G04940
AT5G10510,A,AT4G04940
AT5G17430,A,AT4G04940
AT5G57390,A,AT4G04940
AT5G65510,A,AT4G04940
AT3G20840,A,AT4G04950
AT3G20840,A,AT4G05410
AT5G10510,A,AT4G05410
AT5G17430,A,AT4G05410
AT5G65510,A,AT4G05410
AT3G20840,A,AT4G05440
AT5G17430,A,AT4G05440
AT5G57390,A,AT4G05440
AT5G65510,A,AT4G05440
AT3G20840,A,AT4G05520
AT3G20840,A,AT4G07410
AT5G65510,A,AT4G07410
AT3G20840,R,AT4G09160
AT1G51190,R,AT4G09160
AT5G65510,R,AT4G09160
AT1G51190,A,AT4G09940
AT3G20840,A,AT4G10640
AT1G51190,A,AT4G10640
AT3G20840,A,AT4G11060
AT5G10510,A,AT4G11060
AT5G17430,A,AT4G11060
AT5G57390,A,AT4G11060
AT5G65510,A,AT4G11060
AT3G20840,A,AT4G12540
AT3G20840,A,AT4G13070
AT1G51190,A,AT4G13070
AT3G20840,A,AT4G13690
AT1G51190,A,AT4G13690
AT3G20840,A,AT4G14660
AT5G10510,A,AT4G14660
AT5G17430,A,AT4G14660
AT5G57390,A,AT4G14660
AT5G65510,A,AT4G14660
AT1G51190,R,AT4G15300
AT3G20840,A,AT4G15730
AT1G51190,A,AT4G15730
AT5G17430,A,AT4G15730
AT5G65510,A,AT4G15730
AT3G20840,A,AT4G15830
AT3G20840,A,AT4G15900
AT5G17430,A,AT4G15900
AT5G65510,A,AT4G15900
AT3G20840,A,AT4G18570
AT5G17430,A,AT4G19610
AT5G65510,A,AT4G19610
AT3G20840,A,AT4G21800
AT5G65510,A,AT4G21800
AT3G20840,A,AT4G21820
AT5G65510,A,AT4G21820
AT1G51190,A,AT4G22380
AT5G10510,A,AT4G22380
AT5G17430,A,AT4G22380
AT5G57390,A,AT4G22380
AT5G65510,A,AT4G22380
AT3G20840,A,AT4G22860
AT1G51190,A,AT4G22860
AT5G10510,A,AT4G22860
AT5G17430,A,AT4G22860
AT5G57390,A,AT4G22860
AT5G65510,A,AT4G22860
AT3G20840,A,AT4G23540
AT5G17430,A,AT4G23540
AT5G65510,A,AT4G23540
AT3G20840,A,AT4G23750
AT5G17430,A,AT4G23750
AT5G65510,A,AT4G23750
AT5G65510,A,AT4G23800
AT3G20840,A,AT4G23860
AT5G65510,A,AT4G23860
AT3G20840,A,AT4G24270
AT5G17430,A,AT4G24270
AT5G65510,A,AT4G24270
AT3G20840,A,AT4G24830
AT5G17430,A,AT4G24830
AT5G65510,A,AT4G25210
AT3G20840,A,AT4G25630
AT5G10510,A,AT4G25630
AT5G17430,A,AT4G25630
AT5G57390,A,AT4G25630
AT5G65510,A,AT4G25630
AT3G20840,A,AT4G25730
AT5G10510,A,AT4G25730
AT5G17430,A,AT4G25730
AT5G57390,A,AT4G25730
AT5G65510,A,AT4G25730
AT3G20840,A,AT4G25880
AT5G65510,A,AT4G25880
AT3G20840,A,AT4G26110
AT5G17430,A,AT4G26110
AT5G65510,A,AT4G26110
AT3G20840,A,AT4G26190
AT5G65510,A,AT4G26190
AT5G65510,A,AT4G26300
AT1G51190,A,AT4G26430
AT5G65510,A,AT4G26430
AT3G20840,A,AT4G26660
AT3G20840,A,AT4G26780
AT5G17430,A,AT4G26780
AT5G57390,A,AT4G26780
AT5G65510,A,AT4G26780
AT5G65510,A,AT4G26870
AT3G20840,A,AT4G27380
AT5G17430,A,AT4G27380
AT5G65510,A,AT4G27380
AT3G20840,A,AT4G27490
AT5G10510,A,AT4G27490
AT5G17430,A,AT4G27490
AT5G57390,A,AT4G27490
AT5G65510,A,AT4G27490
AT3G20840,A,AT4G27510
AT5G65510,A,AT4G27510
AT3G20840,A,AT4G27900
AT1G51190,A,AT4G27900
AT5G17430,A,AT4G27900
AT5G65510,A,AT4G27900
AT3G20840,A,AT4G28450
AT1G51190,A,AT4G28450
AT5G10510,A,AT4G28450
AT5G17430,A,AT4G28450
AT5G57390,A,AT4G28450
AT5G65510,A,AT4G28450
AT3G20840,A,AT4G29170
AT5G10510,A,AT4G29170
AT5G17430,A,AT4G29170
AT5G57390,A,AT4G29170
AT5G65510,A,AT4G29170
AT5G65510,A,AT4G30150
AT5G17430,A,AT4G30220
AT3G20840,R,AT4G30720
AT5G17430,A,AT4G30990
AT5G65510,A,AT4G30990
AT5G65510,A,AT4G32050
AT3G20840,A,AT4G33200
AT5G65510,A,AT4G33200
AT3G20840,R,AT4G34760
AT1G51190,R,AT4G34760
AT5G10510,R,AT4G34760
AT5G17430,R,AT4G34760
AT5G57390,R,AT4G34760
AT5G65510,R,AT4G34760
AT3G20840,A,AT4G34970
AT1G51190,A,AT4G34970
AT5G17430,A,AT4G34970
AT5G57390,A,AT4G34970
AT5G65510,A,AT4G34970
AT3G20840,A,AT4G35050
AT1G51190,A,AT4G35050
AT5G10510,A,AT4G35050
AT5G17430,A,AT4G35050
AT5G57390,A,AT4G35050
AT5G65510,A,AT4G35050
AT3G20840,A,AT4G35490
AT5G65510,A,AT4G35490
AT5G17430,A,AT4G35720
AT3G20840,A,AT4G35930
AT3G20840,A,AT4G36020
AT5G17430,A,AT4G36020
AT5G65510,A,AT4G36020
AT3G20840,A,AT4G36580
AT5G10510,A,AT4G36580
AT5G17430,A,AT4G36580
AT5G57390,A,AT4G36580
AT5G65510,A,AT4G36580
AT3G20840,A,AT4G36930
AT1G51190,A,AT4G36930
AT5G10510,A,AT4G36930
AT5G57390,A,AT4G36930
AT3G20840,A,AT4G37170
AT5G17430,A,AT4G37170
AT5G65510,A,AT4G37170
AT3G20840,A,AT4G37490
AT3G20840,A,AT4G38380
AT1G51190,A,AT4G38380
AT5G17430,A,AT4G38380
AT3G20840,A,AT4G39300
AT1G51190,A,AT4G39300
AT5G10510,A,AT4G39300
AT5G17430,A,AT4G39300
AT5G57390,A,AT4G39300
AT5G65510,A,AT4G39300
AT1G51190,A,AT4G39530
AT3G20840,A,AT4G39630
AT5G65510,A,AT4G39630
AT3G20840,A,AT4G39790
AT1G51190,A,AT4G39790
AT5G10510,A,AT4G39790
AT5G17430,A,AT4G39790
AT5G57390,A,AT4G39790
AT5G65510,A,AT4G39790
AT5G17430,A,AT4G40000
AT5G65510,A,AT4G40000
AT3G20840,A,AT5G01470
AT1G51190,A,AT5G01470
AT3G20840,A,AT5G01910
AT5G65510,A,AT5G01910
AT3G20840,A,AT5G02010
AT3G20840,A,AT5G02070
AT3G20840,A,AT5G02180
AT5G10510,A,AT5G02180
AT5G17430,A,AT5G02180
AT5G57390,A,AT5G02180
AT3G20840,A,AT5G02590
AT5G17430,A,AT5G02590
AT3G20840,A,AT5G05210
AT5G17430,A,AT5G05210
AT3G20840,A,AT5G05990
AT5G10510,A,AT5G05990
AT5G17430,A,AT5G05990
AT5G65510,A,AT5G05990
AT3G20840,A,AT5G06000
AT5G17430,A,AT5G06000
AT3G20840,A,AT5G06550
AT5G10510,A,AT5G06550
AT5G17430,A,AT5G06550
AT5G57390,A,AT5G06550
AT5G65510,A,AT5G06550
AT3G20840,A,AT5G08180
AT5G10510,A,AT5G08180
AT5G17430,A,AT5G08180
AT5G57390,A,AT5G08180
AT5G65510,A,AT5G08180
AT3G20840,A,AT5G09380
AT5G17430,A,AT5G09380
AT3G20840,A,AT5G09590
AT3G20840,A,AT5G10240
AT5G17430,A,AT5G10240
AT5G10510,A,AT5G10510
AT5G10510,A,AT5G11160
AT3G20840,A,AT5G11240
AT5G10510,A,AT5G11240
AT5G17430,A,AT5G11240
AT5G57390,A,AT5G11240
AT5G65510,A,AT5G11240
AT3G20840,A,AT5G11780
AT5G65510,A,AT5G11780
AT3G20840,A,AT5G12080
AT1G51190,A,AT5G12080
AT5G10510,A,AT5G12080
AT5G17430,A,AT5G12080
AT5G65510,A,AT5G12080
AT3G20840,A,AT5G13520
AT5G17430,A,AT5G13520
AT3G20840,A,AT5G14580
AT5G10510,A,AT5G14580
AT5G17430,A,AT5G14580
AT5G57390,A,AT5G14580
AT5G65510,A,AT5G14580
AT3G20840,A,AT5G14920
AT1G51190,A,AT5G14920
AT5G10510,A,AT5G14920
AT5G17430,A,AT5G14920
AT5G57390,A,AT5G14920
AT5G65510,A,AT5G14920
AT3G20840,A,AT5G15550
AT5G10510,A,AT5G15550
AT5G17430,A,AT5G15550
AT5G57390,A,AT5G15550
AT5G65510,A,AT5G15550
AT5G17430,A,AT5G15700
AT3G20840,A,AT5G15725
AT1G51190,A,AT5G15725
AT5G65510,A,AT5G15725
AT3G20840,A,AT5G15750
AT5G10510,A,AT5G15750
AT5G17430,A,AT5G15750
AT5G57390,A,AT5G15750
AT5G65510,A,AT5G15750
AT3G20840,A,AT5G16690
AT5G17430,A,AT5G16690
AT5G65510,A,AT5G16690
AT3G20840,A,AT5G16750
AT1G51190,A,AT5G16750
AT5G17430,A,AT5G16750
AT5G65510,A,AT5G16750
AT3G20840,A,AT5G16850
AT3G20840,A,AT5G16930
AT1G51190,A,AT5G16930
AT5G10510,A,AT5G16930
AT5G17430,A,AT5G16930
AT5G57390,A,AT5G16930
AT5G65510,A,AT5G16930
AT3G20840,A,AT5G17270
AT1G51190,A,AT5G17270
AT5G17430,A,AT5G17270
AT5G57390,A,AT5G17270
AT5G65510,A,AT5G17270
AT3G20840,A,AT5G17490
AT1G51190,A,AT5G17490
AT5G10510,A,AT5G17490
AT5G57390,A,AT5G17490
AT5G65510,A,AT5G17490
AT3G20840,A,AT5G17520
AT1G51190,A,AT5G17520
AT5G65510,A,AT5G17520
AT3G20840,A,AT5G17630
AT5G10510,A,AT5G17630
AT5G17430,A,AT5G17630
AT5G57390,A,AT5G17630
AT5G65510,A,AT5G17630
AT5G17430,A,AT5G18180
AT5G17430,A,AT5G18440
AT5G65510,A,AT5G18440
AT3G20840,A,AT5G20160
AT5G17430,A,AT5G20160
AT3G20840,A,AT5G21160
AT5G17430,A,AT5G21160
AT5G65510,A,AT5G21160
AT3G20840,A,AT5G22330
AT3G20840,A,AT5G23070
AT5G10510,A,AT5G23070
AT5G17430,A,AT5G23070
AT5G57390,A,AT5G23070
AT5G65510,A,AT5G23070
AT3G20840,A,AT5G23690
AT5G10510,A,AT5G23690
AT5G17430,A,AT5G23690
AT5G65510,A,AT5G23690
AT1G51190,A,AT5G23780
AT3G20840,A,AT5G25090
AT1G51190,A,AT5G25090
AT3G20840,A,AT5G25490
AT1G51190,A,AT5G25490
AT5G10510,A,AT5G25490
AT5G17430,A,AT5G25490
AT5G57390,A,AT5G25490
AT5G65510,A,AT5G25490
AT3G20840,A,AT5G25590
AT5G17430,A,AT5G25800
AT5G65510,A,AT5G25800
AT3G20840,A,AT5G25900
AT1G51190,A,AT5G25900
AT5G10510,A,AT5G25900
AT5G17430,A,AT5G25900
AT5G57390,A,AT5G25900
AT5G65510,A,AT5G25900
AT3G20840,A,AT5G26110
AT3G20840,A,AT5G26570
AT1G51190,A,AT5G26570
AT5G17430,A,AT5G26570
AT5G65510,A,AT5G26570
AT1G51190,A,AT5G27110
AT3G20840,A,AT5G27330
AT5G10510,A,AT5G27330
AT5G17430,A,AT5G27330
AT5G57390,A,AT5G27330
AT5G65510,A,AT5G27330
AT3G20840,A,AT5G27395
AT3G20840,A,AT5G27740
AT5G65510,A,AT5G27740
AT3G20840,A,AT5G35400
AT5G17430,A,AT5G35400
AT3G20840,A,AT5G39710
AT5G65510,A,AT5G39710
AT3G20840,A,AT5G39820
AT1G51190,A,AT5G39820
AT5G65510,A,AT5G39820
AT3G20840,A,AT5G39840
AT5G17430,A,AT5G39840
AT3G20840,A,AT5G40480
AT5G10510,A,AT5G40480
AT5G17430,A,AT5G40480
AT5G57390,A,AT5G40480
AT5G65510,A,AT5G40480
AT3G20840,A,AT5G42480
AT3G20840,A,AT5G42540
AT5G17430,A,AT5G42540
AT5G65510,A,AT5G42540
AT1G51190,A,AT5G43070
AT5G57390,A,AT5G44440
AT3G20840,A,AT5G45140
AT5G17430,A,AT5G45140
AT5G65510,A,AT5G45140
AT3G20840,A,AT5G45700
AT3G20840,A,AT5G45780
AT5G10510,A,AT5G45780
AT5G17430,A,AT5G45780
AT5G57390,A,AT5G45780
AT5G65510,A,AT5G45780
AT3G20840,A,AT5G46460
AT5G10510,A,AT5G46460
AT5G17430,A,AT5G46460
AT5G65510,A,AT5G46460
AT3G20840,A,AT5G46640
AT1G51190,A,AT5G46640
AT5G10510,A,AT5G46640
AT5G17430,A,AT5G46640
AT5G57390,A,AT5G46640
AT5G65510,A,AT5G46640
AT3G20840,A,AT5G47400
AT3G20840,A,AT5G47455
AT3G20840,A,AT5G47630
AT5G17430,A,AT5G47630
AT5G65510,A,AT5G47630
AT3G20840,A,AT5G48120
AT1G51190,A,AT5G48120
AT5G65510,A,AT5G48120
AT3G20840,A,AT5G48170
AT1G51190,A,AT5G48170
AT5G65510,A,AT5G48170
AT5G17430,A,AT5G48240
AT5G65510,A,AT5G48240
AT3G20840,A,AT5G48360
AT1G51190,A,AT5G48360
AT5G10510,A,AT5G48360
AT5G17430,A,AT5G48360
AT5G65510,A,AT5G48360
AT3G20840,A,AT5G49560
AT1G51190,A,AT5G49560
AT5G10510,A,AT5G49560
AT5G17430,A,AT5G49560
AT5G57390,A,AT5G49560
AT5G65510,A,AT5G49560
AT3G20840,A,AT5G49880
AT3G20840,A,AT5G50110
AT5G17430,A,AT5G50110
AT5G57390,A,AT5G50110
AT5G65510,A,AT5G50110
AT3G20840,A,AT5G50890
AT5G65510,A,AT5G50890
AT5G65510,A,AT5G51200
AT3G20840,A,AT5G51590
AT1G51190,A,AT5G51590
AT5G17430,A,AT5G51590
AT5G65510,A,AT5G51590
AT3G20840,A,AT5G51600
AT5G17430,A,AT5G52380
AT3G20840,A,AT5G52470
AT5G17430,A,AT5G52470
AT3G20840,A,AT5G52820
AT5G17430,A,AT5G52820
AT5G65510,A,AT5G52820
AT3G20840,A,AT5G53290
AT1G51190,A,AT5G53290
AT5G10510,A,AT5G53290
AT5G17430,A,AT5G53290
AT5G57390,A,AT5G53290
AT5G65510,A,AT5G53290
AT3G20840,A,AT5G54910
AT5G17430,A,AT5G54910
AT5G65510,A,AT5G54910
AT1G51190,A,AT5G55650
AT3G20840,A,AT5G55920
AT5G10510,A,AT5G55920
AT5G17430,A,AT5G55920
AT5G57390,A,AT5G55920
AT5G65510,A,AT5G55920
AT3G20840,A,AT5G56500
AT1G51190,A,AT5G56500
AT3G20840,A,AT5G56580
AT1G51190,A,AT5G56580
AT5G10510,A,AT5G56580
AT5G17430,A,AT5G56580
AT5G65510,A,AT5G56580
AT5G17430,A,AT5G57120
AT3G20840,A,AT5G57280
AT5G17430,A,AT5G57280
AT1G51190,A,AT5G57420
AT3G20840,A,AT5G58370
AT5G17430,A,AT5G58370
AT5G65510,A,AT5G58370
AT1G51190,R,AT5G58784
AT3G20840,A,AT5G59980
AT5G10510,A,AT5G59980
AT5G17430,A,AT5G59980
AT5G57390,A,AT5G59980
AT5G65510,A,AT5G59980
AT3G20840,A,AT5G60030
AT5G10510,A,AT5G60030
AT5G17430,A,AT5G60030
AT5G57390,A,AT5G60030
AT5G65510,A,AT5G60030
AT3G20840,A,AT5G60040
AT5G17430,A,AT5G60040
AT3G20840,A,AT5G60930
AT3G20840,A,AT5G61030
AT1G51190,A,AT5G61030
AT5G10510,A,AT5G61030
AT5G17430,A,AT5G61030
AT5G57390,A,AT5G61030
AT5G65510,A,AT5G61030
AT3G20840,A,AT5G61370
AT1G51190,A,AT5G61370
AT5G10510,A,AT5G61370
AT5G17430,A,AT5G61370
AT5G65510,A,AT5G61370
AT3G20840,A,AT5G61460
AT5G65510,A,AT5G61460
AT3G20840,A,AT5G61880
AT1G51190,A,AT5G61880
AT5G10510,A,AT5G61880
AT5G17430,A,AT5G61880
AT5G65510,A,AT5G61880
AT3G20840,A,AT5G62290
AT5G17430,A,AT5G62290
AT5G65510,A,AT5G62290
AT5G17430,A,AT5G62440
AT3G20840,A,AT5G62550
AT3G20840,A,AT5G62710
AT1G51190,A,AT5G62710
AT5G10510,A,AT5G62710
AT5G17430,A,AT5G62710
AT5G57390,A,AT5G62710
AT5G65510,A,AT5G62710
AT5G17430,A,AT5G63420
AT3G20840,A,AT5G63950
AT5G65510,A,AT5G63950
AT3G20840,A,AT5G64420
AT5G17430,A,AT5G64420
AT5G65510,A,AT5G64420
AT5G65510,A,AT5G65510
AT3G20840,A,AT5G65860
AT5G17430,A,AT5G65860
AT5G65510,A,AT5G65860
AT3G20840,A,AT5G66540
AT5G17430,A,AT5G66540
AT5G65510,A,AT5G66540
AT3G20840,A,AT5G66750
AT5G17430,A,AT5G66750
AT5G65510,A,AT5G66750
AT3G20840,A,AT5G67240
AT5G17430,A,AT5G67240
AT5G65510,A,AT5G67240
